Source;Target;Weight
minecraft:netherbrick;r_0;-4
r_0;minecraft:nether_bricks;1
minecraft:nether_wart;r_1;-2
minecraft:netherbrick;r_1;-2
r_1;minecraft:red_nether_brick_wall;1
minecraft:nether_brick_slab;r_2;-2
r_2;minecraft:chiseled_nether_bricks;1
minecraft:quartz;r_3;-4
r_3;minecraft:quartz_block;1
minecraft:quartz_slab;r_4;-2
r_4;minecraft:chiseled_quartz_block;1
minecraft:quartz_block;r_5;-2
r_5;minecraft:quartz_pillar;2
minecraft:quartz_block;r_6;-4
r_6;minecraft:quartz_bricks;4
minecraft:wheat;r_7;-9
r_7;minecraft:hay_block;1
minecraft:white_carpet;r_8;-8
minecraft:pink_dye;r_8;-1
r_8;minecraft:pink_carpet;8
minecraft:white_carpet;r_9;-8
minecraft:magenta_dye;r_9;-1
r_9;minecraft:magenta_carpet;8
minecraft:white_carpet;r_10;-8
minecraft:light_blue_dye;r_10;-1
r_10;minecraft:light_blue_carpet;8
minecraft:white_carpet;r_11;-8
minecraft:yellow_dye;r_11;-1
r_11;minecraft:yellow_carpet;8
minecraft:white_carpet;r_12;-8
minecraft:lime_dye;r_12;-1
r_12;minecraft:lime_carpet;8
minecraft:white_carpet;r_13;-8
minecraft:gray_dye;r_13;-1
r_13;minecraft:gray_carpet;8
minecraft:white_carpet;r_14;-8
minecraft:light_gray_dye;r_14;-1
r_14;minecraft:light_gray_carpet;8
minecraft:white_carpet;r_15;-8
minecraft:cyan_dye;r_15;-1
r_15;minecraft:cyan_carpet;8
minecraft:white_carpet;r_16;-8
minecraft:purple_dye;r_16;-1
r_16;minecraft:purple_carpet;8
minecraft:white_carpet;r_17;-8
minecraft:blue_dye;r_17;-1
r_17;minecraft:blue_carpet;8
minecraft:white_carpet;r_18;-8
minecraft:brown_dye;r_18;-1
r_18;minecraft:brown_carpet;8
minecraft:white_carpet;r_19;-8
minecraft:green_dye;r_19;-1
r_19;minecraft:green_carpet;8
minecraft:white_carpet;r_20;-8
minecraft:red_dye;r_20;-1
r_20;minecraft:red_carpet;8
minecraft:white_carpet;r_21;-8
minecraft:black_dye;r_21;-1
r_21;minecraft:black_carpet;8
minecraft:white_carpet;r_22;-8
minecraft:orange_dye;r_22;-1
r_22;minecraft:orange_carpet;8
minecraft:terracotta;r_23;-8
minecraft:white_dye;r_23;-1
r_23;minecraft:white_terracotta;8
minecraft:terracotta;r_24;-8
minecraft:magenta_dye;r_24;-1
r_24;minecraft:magenta_terracotta;8
minecraft:terracotta;r_25;-8
minecraft:light_blue_dye;r_25;-1
r_25;minecraft:light_blue_terracotta;8
minecraft:terracotta;r_26;-8
minecraft:yellow_dye;r_26;-1
r_26;minecraft:yellow_terracotta;8
minecraft:terracotta;r_27;-8
minecraft:lime_dye;r_27;-1
r_27;minecraft:lime_terracotta;8
minecraft:terracotta;r_28;-8
minecraft:pink_dye;r_28;-1
r_28;minecraft:pink_terracotta;8
minecraft:terracotta;r_29;-8
minecraft:gray_dye;r_29;-1
r_29;minecraft:gray_terracotta;8
minecraft:terracotta;r_30;-8
minecraft:light_gray_dye;r_30;-1
r_30;minecraft:light_gray_terracotta;8
minecraft:terracotta;r_31;-8
minecraft:cyan_dye;r_31;-1
r_31;minecraft:cyan_terracotta;8
minecraft:terracotta;r_32;-8
minecraft:purple_dye;r_32;-1
r_32;minecraft:purple_terracotta;8
minecraft:terracotta;r_33;-8
minecraft:blue_dye;r_33;-1
r_33;minecraft:blue_terracotta;8
minecraft:terracotta;r_34;-8
minecraft:brown_dye;r_34;-1
r_34;minecraft:brown_terracotta;8
minecraft:terracotta;r_35;-8
minecraft:green_dye;r_35;-1
r_35;minecraft:green_terracotta;8
minecraft:terracotta;r_36;-8
minecraft:red_dye;r_36;-1
r_36;minecraft:red_terracotta;8
minecraft:terracotta;r_37;-8
minecraft:black_dye;r_37;-1
r_37;minecraft:black_terracotta;8
minecraft:terracotta;r_38;-8
minecraft:orange_dye;r_38;-1
r_38;minecraft:orange_terracotta;8
minecraft:ice;r_39;-9
r_39;minecraft:packed_ice;1
minecraft:diorite;r_40;-1
minecraft:quartz;r_40;-1
r_40;minecraft:granite;1
minecraft:granite;r_41;-4
r_41;minecraft:polished_granite;4
minecraft:prismarine_crystals;r_42;-5
minecraft:prismarine_shard;r_42;-4
r_42;minecraft:sea_lantern;1
minecraft:dirt;r_43;-2
minecraft:gravel;r_43;-2
r_43;minecraft:coarse_dirt;4
minecraft:diorite;r_44;-1
minecraft:cobblestone;r_44;-1
r_44;minecraft:andesite;2
minecraft:andesite;r_45;-4
r_45;minecraft:polished_andesite;4
minecraft:prismarine_shard;r_46;-4
r_46;minecraft:prismarine;1
minecraft:prismarine_shard;r_47;-9
r_47;minecraft:prismarine_bricks;1
minecraft:prismarine_shard;r_48;-8
r_48;minecraft:dark_prismarine;1
minecraft:prismarine_shard;r_49;-8
r_49;minecraft:dark_prismarine;1
minecraft:magma_cream;r_50;-4
r_50;minecraft:magma_block;1
minecraft:end_stone;r_51;-4
r_51;minecraft:end_stone_bricks;4
minecraft:bone_meal;r_52;-9
r_52;minecraft:bone_block;1
minecraft:nether_wart;r_53;-9
r_53;minecraft:nether_wart_block;1
minecraft:popped_chorus_fruit;r_54;-4
r_54;minecraft:purpur_block;4
minecraft:purpur_slab;r_55;-2
r_55;minecraft:purpur_pillar;1
minecraft:sand;r_56;-4
minecraft:gravel;r_56;-4
minecraft:orange_dye;r_56;-1
r_56;minecraft:orange_concrete_powder;8
minecraft:sand;r_57;-4
minecraft:gravel;r_57;-4
minecraft:white_dye;r_57;-1
r_57;minecraft:white_concrete_powder;8
minecraft:sand;r_58;-4
minecraft:gravel;r_58;-4
minecraft:magenta_dye;r_58;-1
r_58;minecraft:magenta_concrete_powder;8
minecraft:sand;r_59;-4
minecraft:gravel;r_59;-4
minecraft:light_blue_dye;r_59;-1
r_59;minecraft:light_blue_concrete_powder;8
minecraft:sand;r_60;-4
minecraft:gravel;r_60;-4
minecraft:yellow_dye;r_60;-1
r_60;minecraft:yellow_concrete_powder;8
minecraft:sand;r_61;-4
minecraft:gravel;r_61;-4
minecraft:lime_dye;r_61;-1
r_61;minecraft:lime_concrete_powder;8
minecraft:sand;r_62;-4
minecraft:gravel;r_62;-4
minecraft:pink_dye;r_62;-1
r_62;minecraft:pink_concrete_powder;8
minecraft:sand;r_63;-4
minecraft:gravel;r_63;-4
minecraft:gray_dye;r_63;-1
r_63;minecraft:gray_concrete_powder;8
minecraft:sand;r_64;-4
minecraft:gravel;r_64;-4
minecraft:light_gray_dye;r_64;-1
r_64;minecraft:light_gray_concrete_powder;8
minecraft:sand;r_65;-4
minecraft:gravel;r_65;-4
minecraft:cyan_dye;r_65;-1
r_65;minecraft:cyan_concrete_powder;8
minecraft:sand;r_66;-4
minecraft:gravel;r_66;-4
minecraft:purple_dye;r_66;-1
r_66;minecraft:purple_concrete_powder;8
minecraft:sand;r_67;-4
minecraft:gravel;r_67;-4
minecraft:blue_dye;r_67;-1
r_67;minecraft:blue_concrete_powder;8
minecraft:sand;r_68;-4
minecraft:gravel;r_68;-4
minecraft:brown_dye;r_68;-1
r_68;minecraft:brown_concrete_powder;8
minecraft:sand;r_69;-4
minecraft:gravel;r_69;-4
